stid,ok,name,start_date,end_date,lat,lon,heigh,height2,type,disappear_time,remark,gjjhzh_194_remark,ybzh_2170_remark,,,,红色112
52968,青海,泽库,195710,199012,35.03333333,101.4666667,3662.8,3663.6,一般站,缺195805,1991年改一般站,,一般站,,,,
52972,青海,循化,198101,201012,35.85,102.45,1921,1921.8,,,,,一般站,,,,
52974,青海,同仁,199101,200012,35.51666667,102.0166667,2491.4,2492.2,基本站,,,,一般站,,,,
52978,甘肃,夏河,198101,201012,35.2,102.5166667,2929.4,2930.6,,,,,一般站,,,,
52980,甘肃,永靖,198101,201012,35.96666667,103.3,1648,1649.2,,,,,一般站,,,,
52981,甘肃,东乡,198101,201012,35.68333333,103.3833333,2421,2422.2,,,,,一般站,,,,
52982,甘肃,广河,198101,201012,35.48333333,103.55,1953.2,1954.4,,,,,一般站,,,,
52983,甘肃,榆中,195101,200012,35.86666667,104.15,1874.4,1875.6,基准站,缺195205-195301,1996年改基准站,,一般站,,,,
52984,甘肃,临夏,195101,200012,35.58333333,103.1833333,1917.2,1918.4,基本站,,,,一般站,,,,
52985,甘肃,和政,198101,201012,35.41666667,103.0333333,2162.8,2164,,,,,一般站,,,,
52986,甘肃,临洮,195101,200012,35.36666667,103.8666667,1893.8,1895,基本站,,,,一般站,,,,
52988,甘肃,康乐,198101,201012,35.36666667,103.7166667,2015.8,2017,,,,,一般站,,,,
52993,甘肃,会宁,195511,199104,35.68333333,105.0666667,1739.4,1740.6,一般站,缺199102、199103,1991年改一般站,,一般站,,,,
52995,甘肃,安定,198101,201012,35.58333333,104.6166667,1897.2,1898.4,,,,,一般站,,,,
52996,甘肃,华家岭,195101,200012,35.38333333,105.0166667,2450.6,2451.8,基本站,,,,一般站,,,,
